avg,long_bar,mean
0.24,261,0.23399999999999999
0.26,390,0.23399999999999999
0.26,307,0.22924528301886796
0.24,465,0.23235294117647057
0.49,298,0.44375
0.24,321,0.23571428571428568
0.29,411,0.19056603773584904
0.24,377,0.22924528301886796
0.24,270,0.24130434782608692
0.26,389,0.23571428571428568
0.24,268,0.22636363636363635
0.24,451,0.23235294117647057
0.26,352,0.22777777777777777
0.24,317,0.22924528301886796
0.48,232,0.44375
0.24,439,0.23235294117647057
0.24,549,0.20000000000000004
0.24,644,0.23076923076923075
0.26,353,0.23571428571428568
0.24,335,0.23571428571428568
0.24,336,0.23399999999999999
0.24,362,0.23571428571428568
0.24,583,0.22924528301886796
0.24,546,0.1979591836734694
0.24,343,0.22924528301886796
0.24,425,0.23750000000000002
0.24,503,0.23399999999999999
0.15,636,0.1631578947368421
0.15,310,0.16233766233766234
0.24,451,0.23235294117647057
0.24,434,0.22924528301886796
0.24,365,0.2021276595744681
0.24,200,0.44198113207547174
0.24,243,0.19056603773584904
0.26,363,0.22777777777777777
0.26,470,0.23076923076923075
0.26,413,0.23571428571428568
0.24,356,0.23235294117647057
0.21,221,0.19600000000000004
0.26,327,0.23032786885245904
0.24,519,0.23076923076923075
0.26,244,0.23235294117647057
0.26,411,0.22924528301886796
0.24,368,0.23235294117647057
0.24,601,0.23399999999999999
0.26,522,0.22777777777777777
0.24,349,0.23399999999999999
0.24,783,0.22636363636363635
0.24,481,0.22924528301886796
0.24,525,0.23235294117647057
0.24,535,0.23235294117647057
0.24,585,0.22777777777777777
0.24,473,0.23399999999999999
0.26,311,0.22924528301886796
0.47,448,0.44198113207547174
0.24,201,0.445
0.24,423,0.23235294117647057
0.24,242,0.23750000000000002
0.26,283,0.2393617021276596
0.24,375,0.225
0.26,459,0.23235294117647057
0.24,578,0.23235294117647057
0.24,547,0.23076923076923075
0.24,244,0.23571428571428568
0.26,273,0.22924528301886796
0.24,426,0.22636363636363635
0.24,711,0.225
0.24,402,0.225
0.24,235,0.23399999999999999
0.2,613,0.17868852459016393
0.26,232,0.23235294117647057
0.24,420,0.23305084745762708
0.26,308,0.225
0.24,495,0.2393617021276596
0.26,481,0.23235294117647057
0.24,576,0.23235294117647057
0.26,561,0.22777777777777777
0.24,286,0.24130434782608692
0.26,311,0.23399999999999999
0.24,540,0.23484848484848486
0.24,617,0.23235294117647057
0.24,390,0.2018181818181818
0.26,477,0.23571428571428568
0.24,584,0.23399999999999999
0.24,524,0.23235294117647057
0.24,318,0.20000000000000004
0.24,434,0.23399999999999999
0.24,368,0.22972136222910214
0.24,414,0.23399999999999999
0.24,325,0.22998670212765956
0.24,278,0.22924528301886796
0.24,449,0.23571428571428568
0.26,572,0.23235294117647057
0.24,437,0.22924528301886796
0.26,297,0.23399999999999999
0.26,583,0.19824561403508775
0.26,382,0.23235294117647057
0.26,489,0.23571428571428568
0.24,489,0.22924528301886796
0.22,298,0.1979591836734694
0.24,593,0.23571428571428568
0.26,510,0.23399999999999999
0.24,253,0.23571428571428568
0.24,249,0.23399999999999999
0.24,557,0.23399999999999999
0.26,279,0.20000000000000004
0.24,275,0.24130434782608692
0.24,202,0.44299999999999995
0.26,748,0.23235294117647057
0.24,449,0.22924528301886796
0.26,248,0.23750000000000002
0.49,279,0.44136363636363635
0.24,425,0.23235294117647057
0.24,484,0.23399999999999999
